what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753656432
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753656447
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753656525
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753666650
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1283753669103
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753690244
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753692807
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753699900
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753705182
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753738807
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753741853
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753753213
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753766525
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753813010
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753813010
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753813088
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753816807
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.format",1283753825432
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1283753827275
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283753832885
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283753833447
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753858307
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753858416
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1283753878432
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283753885807
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283753889275
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1283753904760
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283753908572
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283753925978
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283753933760
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283753935541
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753937619
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753941635
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753997010
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753997025
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283753997119
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283754349041
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283754349869
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283754349869
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283754349978
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283754351275
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1283754370275
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283754377400
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283754394197
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1283754402822
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283754403853
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283754422635
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283754423682
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283754424228
